name
Ahmedabad
Surat
Vadodara
Rajkot
Bhavnagar
Jamnagar
Junagadh
Gandhinagar
Gandhidham
Anand
Navsari
Morbi
Nadiad
Surendranagar
Bharuch
Mehsana
Bhuj
Porbandar
Palanpur
Valsad
Vapi
Gondal
Veraval
Godhra
Patan
Kalol
Dahod
Botad
Amreli
Deesa
Jetpur
Wadhwan
Ankleshwar
Dhoraji
Khambhat
Mahuva
Keshod
Wankaner
Savarkundla
Kadi
Visnagar
Upleta
Una
Siddhpur
Unjha
Mangrol
Viramgam
Modasa
Palitana
Petlad
